OBJECTID *,Name,Description,Map,WEBSITE,Latitude,Longitude,PIC_URL
11,Nunatuk,"From the Inuktitut word nunataq, Nunatuk refers to a mountain peak surrounded by a glacier. This campground provides good boat access to Frenchman Lake and a mix of sites in the forest and along the lake.",https://yukon.ca/sites/yukon.ca/files/env/env-nunatuk-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/nunatuk,62.164,-135.799,https://lh3.googleusercontent.com/pw/AL9nZEUDHi6c2x7ZE8-yQlfr19xQNUNYfVz0eEaXD7kpjTod0zkBpdMneh6E7IzAVGGlB4hbxBSD95w2cdLwzHGa9mLKlqwuGLUgKUamuDaVuPPwMk9sA10o4jjoAcqCbIUAPns96pOzXuqvyb4iSp6rwVffQg=w422-h937-no?authuser=0
12,Pine Lake,"This popular campground and day-use area, close to Haines Junction, provides an excellent view of the Kluane and St. Elias Mountains. The Southern Tutchone name is Tsí Män, “red ochre lake,” referring to the crumbly red rock seen on Paint Mountain across the lake. There is a sandy beach with a swimming platform and a short interpretive trail and wheelchair-accessible boardwalk along the lake.",https://yukon.ca/sites/yukon.ca/files/env/env-pine-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/pine-lake,60.799,-137.489,https://lh3.googleusercontent.com/pw/AL9nZEUE1rYkazgzJGo_hl03C_pp5U3ukgej9CPWS3C2tGhRla8cIpYd4H20LghfnAgT8czngnn8ZsOBTKTibvHVCwktPs8eD4QDdIYIZaLO_cNE9__Zr_Pd2IW8A2gxK7-B5jLQWE5omss3aDhctpmQ1h4YBg=w1250-h937-no?authuser=0
13,Quiet Lake South,"This beautiful campground sits in a quiet forest of lodgepole pine and white spruce. Good access to the water makes this a great place to go boating. The open forest and rocky area provides a natural playground for kids. Look for American mink, moose, coyote and songbirds on the shore. The lake’s Tlingit and Northern Tutchone names (Kìt Den Â and Chu L?) refer to its high location as a headwater.",https://yukon.ca/sites/yukon.ca/files/env/env-quiet-lake-south-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/quiet-lake-south,61.059,-133.027,
14,Snafu Lake,"The Snafu-Tarfu lake system is popular among Yukon residents for canoe trips. The small bays, islands and peninsulas make the lakes friendly for children and beginners. Check for special fishing restrictions at these lakes that help protect sensitive lake trout populations. Snafu is a military acronym for “Situation Normal — All ‘Fouled’ Up.” Both the Snafu and Tarfu campgrounds were former forest fire crew camps in the late 1950s. The U.S. army spent nearly half a million dollars to construct the camps, which were dismantled after the road’s completion.",https://yukon.ca/sites/yukon.ca/files/env/env-snafu-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/snafu-lake,60.131,-133.823,https://lh3.googleusercontent.com/pw/AL9nZEWkySWM3vdQEdfjPS5dWxa2qm8nRGzTKPzaaqd0VLs3MR-s1kF_h_4MgRlfaKmtfHnxcGm_Ak7bmB-6c76VB5L5GSAMzlj-pmTXMPuH2SgfvGXWTGfZJFsFIqQdG0oRRiWMPLMAj2xWY1_Tv76Dzw-D=w1250-h937-no?authuser=0
15,Tatchun Lake,"With many small bays, islands, and shoreline vegetation, Tatchän Män* is an interesting place to paddle. The dock at the campground is accessible by foot, whereas the boat launch is two kilometres away on Frenchman Road. Ancient camps on both lakes are still used today by the Little Salmon/Carmacks First Nation to fish whitefish, trap beaver and hunt caribou and moose.",https://yukon.ca/sites/yukon.ca/files/env/env-tatchun-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/tatchun-lake,62.299,-136.139,https://lh3.googleusercontent.com/pw/AL9nZEWoDbo_jaS4cH35CG4Ub3LdxyPkqCSJbF-AmdcZWfCTxFlsDUm9sumCkeONWBqcDAeJsyJR5sr5ofXLFFR9PfDZQ0lRSxwp9EIvuhu30KTmeQFheG-ajNGkt5wzkxQTTUTzJmMrp51sEpGKS8T_FbJf=w1249-h937-no?authuser=0
16,Tombstone,"The campground is often used as a base for travellers heading up the Dempster Highway or into Tombstone Territorial Park. Plan to arrive early as it usually  lls up quickly. A short foot trail connects the campground to the Tombstone Interpretive Centre (open seven days per week from late May to mid-September), which offers free interpretive walks, talks, and special events. Check the schedule posted and online. Several hiking trails begin at or near the campground. A one-kilometre, wheelchair-accessible interpretive trail leads from the centre to a beaver pond. Another trail loops from the campground, introducing you to the tundra. A third trail continues along the banks of the North Klondike River. For more information on day-hikes and routes throughout the park, visit yukonparks.ca and pick up a copy of the brochure A Guide to Tombstone Territorial Park",https://yukon.ca/sites/yukon.ca/files/env/env-tombstone-mountain-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/tombstone-mountain,64.507,-138.221,https://lh3.googleusercontent.com/pw/AL9nZEVdGlSZ6oWad75xe6MpNoU7nD8Q0KQjR_VrjdPWe8nzQyB2J7em4dYVOMYKWWkLUIbjUCr-QBFgggpTKiykZBuRmIw5vLNpH9QiXNEpDZUFZMjlnEQ1ugpOKEKrTr1b5GUpWt-JI_77trz7iwRn1-6_=w384-h512-no?authuser=0
17,Watson Lake,This campground lies on the south shore of Watson Lake. It is an ideal spot for weekend family camping and for visitors to the community of Watson Lake. There are two camping areas and a day-use area.,https://yukon.ca/sites/yukon.ca/files/env/env-watson-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/watson-lake,60.071,-128.818,https://lh3.googleusercontent.com/pw/AL9nZEX4_2bXR7JoGELNNjgbFMGyizusyiQE7npLIIudzV1UoW3_HjZx5dNzJI8rAQVZeVb2-5mc-8eeqdSzs4TXs_NlOexswAhWtxpZcLkQvUU6SaoycsaH5rl3-QIYty97LxUr5eirH78srvQgAqg2_StKnA=w422-h937-no?authuser=0
18,Wolf Creek,"Situated in an old white spruce forest near Whitehorse, this campground is often busy with travellers and residents. Check the website for seasonal trends and consider a back-up option. The three-kilometre interpreted Yukon River Trail begins at the campground and passes through the boreal forest to a scenic view of the river. This section is wheelchair-accessible. The loop returns along Wolf Creek, where Chinook salmon spawn in late summer and early autumn. Visit the salmon fishway and interpretive site at the campground entrance. This is also a great place to spot forest birds. The shorter Escarpment Trail climbs to a sage and aspen-covered overlook of the Wolf Creek valley. Two cook shelters are available while the day-use area offers a playground, benches, picnic tables and fire pits for the whole family.",https://yukon.ca/sites/yukon.ca/files/env/env-wolf-creek-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/wolf-creek,60.607,-134.943,https://lh3.googleusercontent.com/pw/AL9nZEVlQ53V5Py7DWfJ3nIPZTLWEH0kG04rTUdW6Rd7nLzSA9gC7I57YgxeYCwC3cW210mNkZqQ1B3Bdr9v-tOQE8YKx0RnO1izyg-2H9oM_0j-Dl58A50nTpoMDrS8wRoyQKipz8URTgWq8uPH1h18p_mtRQ=w1600-h720-no?authuser=0
19,Yukon River,"This popular campground, across the river from Dawson City, is the largest in Yukon. It is enjoyed by residents and visitors for its proximity to town and access to a beach and the sternwheeler graveyard. The campground is accessible via a free ride on the George Black Ferry from mid-May to mid-October. From the viewing deck overlooking the Yukon River, look for peregrine falcons. The campground is especially busy during the Dawson City Music Festival in late July.",https://yukon.ca/sites/yukon.ca/files/env/env-yukon-river-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/yukon-river,64.072,-139.439,https://lh3.googleusercontent.com/pw/AL9nZEWQdIYqdoRnZ9oJBDm5-fyWpLeaEh-N7XydCw6bb4TCRp6RwHWxgph-zogPQ_DSk6jSaTKf_KNPkdKjjLwunfFKxVNg5i2fbs99oJ8blz4KIVSKU3VLi4BmEXI8Xv4IWu8D4Vn-c0HI6-heZPsD_Jua=w1250-h937-no?authuser=0
20,Grizzly Lake,,https://yukon.ca/sites/yukon.ca/files/env/env-planning-trip-tombstone.pdf#page=35,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/tombstone-territorial-park-grizzly-lake-campground,64.427,-138.46,https://lh3.googleusercontent.com/pw/AL9nZEVQzHsrVjC7585S5KOd9Ii4QCRVleLki6Y23ic4OXH8hqZskg-RumN-Wc2uNuoY1WdBgc8qVXREQGlAynsDajngpwsUmmlqYsqaY5Zjq9uY61kZSGFfC1-tJDqaceQrqqXoBvyqp9H6Hc765MYUsV_xzA=w1250-h937-no?authuser=0
21,Divide Lake,,https://yukon.ca/sites/yukon.ca/files/env/env-planning-trip-tombstone.pdf#page=35,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/tombstone-territorial-park-divide-lake-campground,64.453,-138.49,https://lh3.googleusercontent.com/pw/AL9nZEUbjn_RqGMiwBITmT8qTxYYG_1F2UHe9oqFLk6HBTcFK4-BKKYL93U_Aau5YckZJBqxlNyEZJb6_hL-QKKN4tZM6Wxlq_zqVHKIaIuiZRIrBcT_To5VMSJ1Kr8rMZAYBdY6pzJJJ5Xr1xRmwmD-nD_JRg=w1600-h929-no?authuser=0
22,Hootalinqua ,"The name Hootalinqua is from the Northern Tutchone word Hudinlin, meaning ""running against the mountain."" Hootalinqua was a popular gathering site for trade and visiting between the Tlingit, Southern Tutchone and Northern Tutchone people. Many First Nation families, hunted, fished and trapped in this area. They travelled on the river by watercraft in the summer and by foot and dogteam in the winter. In the early 1900s, First Nation families lived along the Thirty Mile stretch of the Yukon River and on the Teslin River, prospecting and cutting wood for the sternwheelers.",,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/thirty-mile-hootalinqua-campground,61.585,-134.904,https://lh3.googleusercontent.com/pw/AL9nZEVSmyQp_4AZ-hGV65omll5IasdjEXZttTahYC9YG2U55cGMtHdV1H_4odiIpUsnGzZaXpjeGklKDBt35nZBCrPMgl1KX2hlZWpNQF_rFThBXME_a4RhEnODdA_ZMVQMza4b61Y4IvwATeHjL4-9C5nU0g=w1250-h937-no?authuser=0
23,Egg Island,,,,60.861,-135.185,https://lh3.googleusercontent.com/pw/AL9nZEUJP4YPSmawsfEVwBkDy-g2BuuGHjmqbPyb9mKQy1Dn1mBXgG1Te1rpEg7Ql7J5J2cPKVrBlur6VG7LYTT1qbbIsEzDY1gtrTcynyugWmJvup3QtL3H3B4H6HwGl-2xFf6oW-hqhAbw4N-Qv2JafQ-3ww=w472-h937-no?authuser=0
24,Auroa Mine Site,,,,60.043,-134.684,https://lh3.googleusercontent.com/pw/AL9nZEXZRzTDiAkRRuepAxYAFaw8R--TVv_StBpFyWpDm9JQ0SoiIiuJ7-8B54_KepxJoTOI6Ce3galh6muBEzGZ5uZyYKC2fU5G2DjndXl3ZsruJbWyzj9PbxgYQeJ0tKR-NElQqSb7jdnBGfQdpRmrdBbtJA=w1250-h937-no?authuser=0
25,Summit Creek,,,,59.668,-135.113,https://lh3.googleusercontent.com/pw/AL9nZEXVbA5G5LyaIOwICdvwt1OvxuV1PfhjcT40nYfoKqsiqfCVutBDDJ4AEv_B3rY7qPtx5z2-QRPEwkYn13kDDJoYlyOIpN9nudpcb95UsgETM6vCFon21obyCwhWEHJzYFBt5gDPTISS6uG42if2VqtXQA=w703-h937-no?authuser=0
26,Chilkat State Park,,http://dnr.alaska.gov/parks/maps/chilkatsp.pdf,http://dnr.alaska.gov/parks/aspunits/southeast/chilkatsp.htm,59.1447,-135.375,https://lh3.googleusercontent.com/pw/AL9nZEUkyrYSg3pkgl3efPad-pAry2GQhWnuTTWPcU790Kg3ukeavDYXLy-qtvgk9d8YtzRBbm-rOY7DkiWqRBsH3KcWovDvOzIAmLhWsXht4L6gcr_96LS71U_D32-rp70IM9ixQlttJj5vd6vl0EYKWH8CUg=w1250-h937-no?authuser=0
27,MacDonald Campground,,https://bcparks.ca/explore/parkpgs/muncho_lk/muncho_lake.pdf,https://bcparks.ca/explore/parkpgs/muncho_lk/muncho_lk_broch.pdf,59.02,-125.773,https://lh3.googleusercontent.com/pw/AL9nZEV59eJ-dRWej_kfGhFHnmeBr5w90NGxJ6kGNBY8_EJ5hNtYGX589bjvjGnkBAiabGDTe2lK2mYeoK2Tz3tAX83FDEFYmvgG5pjdYz0LQ-mVfMFLDk6t_THqHMVN2F9PmDVs0EEhSIcuAmNj4stCwygaEg=w1250-h937-no?authuser=0
28,Pine Creek,,https://www.for.gov.bc.ca/ftp/DCO/external/!publish/RecSitesTrails/SIGN_MAKER_RESOURCES/Brouchure_Examples/Atlin%2032%20x%2036%20sign%20no%20lines.pdf,,59.56,-133.67,
29,Alsek Valley,,https://pcweb.azureedge.net/-/media/pn-np/yt/kluane/WET4/activ/Hiking/Trails-and-routes/Alsek/alsek-valley_carte-map.jpg,https://www.pc.gc.ca/en/pn-np/yt/kluane/activ/randonnee-hiking/alsek,60.668,-137.863,https://lh3.googleusercontent.com/pw/AL9nZEWklTSn8PWffB6i9cpgHlrOC3OTXmTy69wroa0QKgbgQH69UCLKzl5SJTNcUmkc_Xe3RcqDAndgu5xOTdVlvq4P8KmBDoOuyvCvaveSXrvMZdKipDimU9B6hrsIwVdYG0DCpagkdgqmNErAxp3S1sR5nA=w703-h937-no?authuser=0
30,St. Elias Lake,,https://pcweb.azureedge.net/-/media/pn-np/yt/kluane/WET4/activ/Hiking/Trails-and-routes/St-Elias-Lake/St-Elias-Lake_carte-map.jpg,https://www.pc.gc.ca/en/pn-np/yt/kluane/activ/randonnee-hiking/st-elias,60.318,-137.103,https://lh3.googleusercontent.com/pw/AL9nZEUJzI9jGoNJuQni-G6wZHVD3gqngSBrhI_TE3GBcnKoZ3tey0oBVaD6vsIlVlMnHXaUIUgIVvZ2vQRboYviTlorxdcBUlBjftw8WUEkom8LU05_JNtL6lwDtSPF0nOJaNeret32zz9F8_VjeIDITMSt_Q=w1250-h937-no?authuser=0
31,Teslin Camp 1,,,,60.64,-133.559,
32,Teslin Camp 2,,,,60.943,-134.073,https://lh3.googleusercontent.com/pw/AL9nZEWDYJBP13OTNwvWdNqeo5qtBUBn2n2AlaqW4C8OAl-84sqqyjDb88aQBxwyPMay9m6NWkYebudPBD02rlhl97e_WLUuuMGguTsI5WdC2cQbPEEq90l2LRIOxksdwDkH_1BStMQWv0covTzrPN0l_a_yrQ=w1600-h721-no?authuser=0
33,Teslin Camp 3,,,,61.237,-134.554,TeslinCamp3.mp4
34,Teslin Camp 5,,,,62.0397,-135.537,https://lh3.googleusercontent.com/pw/AL9nZEXz25oczUInCH3OtbySo83szMb67wX-AAW1PPrxHXhuE1YRkZ5nMNcxAQ4_tXmoNy-EY7LNmcy6SDs7fyk6Ig-lEDuvBfjWz-oOBjJYym82HpGXPabpqhhENCKJ8SxVKIiJMY2KK0exaye97iE6nL4_0A=w422-h937-no?authuser=0
35,Sturgill's Landing,,,,59.4222,-135.3396,https://lh3.googleusercontent.com/pw/AJFCJaUvWpQQYmWFZFGj2dl6tJsoGtK-rQ1bwnW-p3zozi8U1iX1XEjC99mRu3aipjuwDjZTRFsFG_cYUtWGItfh0j3K2AFh8ji8nePE-8N8ARQ58r9nSoayLqDwfw3jKbqiPtOAv8zD1oaxCe6tjSbXvOP2CA=w703-h937-s-no?authuser=0
